# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,88438262,-0.9375,-0.0801,-0.1782,10.30,9.39,-16.59
1,88443269,-0.9341,-0.0835,-0.1753,9.39,9.21,-16.89
2,88448262,-0.9292,-0.0815,-0.1792,8.60,9.15,-16.89
3,88453262,-0.9258,-0.0801,-0.1821,7.50,9.02,-17.01
4,88458262,-0.9214,-0.0820,-0.1807,6.40,8.84,-17.13
5,88463262,-0.9209,-0.0806,-0.1846,5.24,8.72,-17.44
6,88468262,-0.9189,-0.0835,-0.1836,4.09,8.66,-17.50
7,88473262,-0.9209,-0.0869,-0.1821,3.05,8.41,-17.62
8,88478262,-0.9155,-0.0894,-0.1836,1.89,8.29,-17.62
9,88483262,-0.9111,-0.0898,-0.1904,0.85,8.17,-17.62
10,88488262,-0.9116,-0.0928,-0.1860,-0.18,8.05,-17.56
11,88493262,-0.9072,-0.0933,-0.1865,-1.34,8.05,-17.44
12,88498262,-0.9058,-0.0981,-0.1890,-2.62,7.99,-17.26
13,88503760,-0.9014,-0.0986,-0.1870,-4.27,8.05,-17.26
14,88508262,-0.8994,-0.1030,-0.1909,-5.18,8.11,-17.13
15,88513262,-0.8984,-0.0991,-0.1924,-6.65,8.17,-16.89
16,88518262,-0.9004,-0.1055,-0.1841,-8.05,8.35,-16.83
17,88523262,-0.8931,-0.1060,-0.1841,-9.76,8.66,-16.65
18,88528334,-0.8882,-0.1084,-0.1880,-11.71,8.84,-16.40
19,88533263,-0.8867,-0.1108,-0.1860,-12.99,9.15,-16.22
20,88538262,-0.8877,-0.1118,-0.1860,-14.76,9.27,-16.04
21,88543262,-0.8813,-0.1172,-0.1831,-16.77,9.33,-15.85
22,88548262,-0.8838,-0.1167,-0.1914,-18.05,9.45,-15.67
23,88553262,-0.8735,-0.1177,-0.1899,-19.63,9.82,-15.37
24,88558262,-0.8774,-0.1206,-0.1895,-21.28,10.00,-15.18
25,88563262,-0.8779,-0.1240,-0.1934,-22.80,9.94,-14.88
26,88568262,-0.8765,-0.1216,-0.1973,-24.15,10.12,-14.63
27,88573262,-0.8789,-0.1221,-0.1929,-25.61,10.24,-14.39
28,88578262,-0.8770,-0.1274,-0.2012,-26.89,10.18,-14.21
29,88583262,-0.8813,-0.1270,-0.2061,-28.23,10.49,-14.27
30,88588262,-0.8862,-0.1318,-0.2017,-29.27,10.30,-14.02
31,88593262,-0.8887,-0.1313,-0.2144,-30.55,10.43,-13.90
32,88598262,-0.8877,-0.1348,-0.2144,-31.40,10.43,-13.90
33,88603264,-0.8838,-0.1353,-0.2227,-32.38,10.37,-13.84
34,88608261,-0.8799,-0.1367,-0.2183,-33.35,10.49,-13.78
35,88613266,-0.8784,-0.1401,-0.2227,-34.45,10.30,-14.02
36,88618262,-0.8828,-0.1475,-0.2300,-35.24,10.43,-13.96
37,88623262,-0.8784,-0.1479,-0.2314,-36.22,10.49,-14.09
38,88628262,-0.8848,-0.1475,-0.2310,-37.01,10.43,-14.21
39,88633261,-0.8882,-0.1519,-0.2437,-37.93,10.49,-14.39
40,88638262,-0.8896,-0.1548,-0.2412,-38.84,10.61,-14.57
41,88643261,-0.8877,-0.1548,-0.2441,-39.70,10.73,-14.88
42,88648262,-0.8857,-0.1558,-0.2432,-40.55,10.98,-15.18
43,88653262,-0.8906,-0.1558,-0.2549,-41.46,10.98,-15.61
44,88658262,-0.8965,-0.1582,-0.2637,-42.68,11.40,-16.10
45,88663264,-0.9004,-0.1655,-0.2686,-43.60,11.65,-16.46
46,88668261,-0.9111,-0.1709,-0.2700,-44.70,11.59,-16.89
47,88673261,-0.9126,-0.1660,-0.2793,-45.67,11.89,-17.32
48,88678748,-0.9165,-0.1704,-0.2744,-46.95,12.44,-17.93
49,88683263,-0.9180,-0.1685,-0.2822,-47.74,12.74,-18.29
50,88688261,-0.9194,-0.1704,-0.2832,-48.84,13.23,-18.90
51,88693262,-0.9170,-0.1763,-0.2793,-49.88,13.78,-19.57
52,88698262,-0.9219,-0.1704,-0.2812,-50.79,14.09,-20.00
53,88703260,-0.9204,-0.1733,-0.2866,-51.71,14.57,-20.67
